,time,tx,address,rx
0,12.223332,00000000000055,0300010000000100054902000000000,000000000000020057
2,12.361896,00000000000003005a,0500010000000100054902000000000,00000000000057
4,12.522801,0000000000000157,0500010000000100054901000000000,00000000000056
6,12.894929,0000000000000056,0500010000000100054901000000000,00000000000056
8,13.064282,000000000000020059,0500010000000100054902000000000,00000000000057
10,15.479549,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
12,17.427062,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
14,19.356403,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
16,21.284146,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
18,23.233912,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
20,25.156408,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
22,27.068489,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
24,28.989434,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
26,30.940736,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
28,32.866385,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
30,34.926674,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
32,36.910228,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
34,38.877188,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
36,40.834322,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
38,42.766156,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
40,44.708238,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
42,46.63662,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
44,48.546187,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
46,50.473505,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
48,52.432729,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
50,54.354358,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
52,56.26713,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
54,58.189637,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
56,60.140443,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
58,62.04843,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
60,63.958277,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
62,65.909089,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
64,67.828938,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
66,69.741297,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
68,71.660234,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
70,73.592259,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
72,75.597123,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f01220001000000416d65726963616e6f2020202020202020202000320000000500d10074
74,77.558638,000009000000d8,0300010000000100814500000100030,00000900000003011164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d10011
76,79.479669,000009000000d8,0300010000000100814500000100030,00000900000003011164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d10011
78,80.934252,000000000000a9,0300010000000100505300000100000,000000000000036300c001530076029b
80,100.63209,000000000000a2,0300010000000100118b01000000000,00000000000033313420574d462d414700000000000000000000000000000000000000fbf4
82,100.748157,000000000000a1,0300010000000100108b01000000000,000000000000de1f01009f
84,100.871762,00000000000055,0300010000000100054902000000000,000000000000020057
86,100.9994,00000000000003005a,0500010000000100054902000000000,00000000000057
88,101.190671,0000000000000157,0500010000000100054901000000000,00000000000056
90,101.537156,0000000000000056,0500010000000100054901000000000,00000000000056
92,101.669118,000000000000020059,0500010000000100054902000000000,00000000000057
94,103.955494,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
96,105.897177,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
98,107.797076,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
100,109.72515,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
102,111.651806,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
104,113.554568,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
106,115.480468,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
108,117.417644,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
110,119.384697,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
112,121.311884,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
114,123.230738,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
116,125.200569,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
118,127.11142,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
120,129.034064,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
122,130.96152,000009000000d8,0300010000000100814500000100030,00000900000003019164010000010064390001000000180100000000320100080000000f32055f0000000000000f013f0001000000416d65726963616e6f2020202020202020202000320000000500d20092
124,132.887145,000009000000d8,0300010000000100814500000100030,00000900000003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f011d0001000000416d65726963616e6f2020202020202020202000320000000500d200e0
126,135.089182,000009000000d8,0300010000000100814500000100030,00000900000003010164010000010064390001000000180100000000320100080000000f32055f0000000000000f011d0001000000416d65726963616e6f2020202020202020202000320000000500d200e0
128,136.558328,000000000000a9,0300010000000100505300000100000,000000000000036300c0012a012a0126
